npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  9/2/2026 2:47:21 AM ::1 GET /
 HTTP  9/2/2026 2:47:21 AM ::1 Returned 200 in 327 ms
 HTTP  9/2/2026 2:47:43 AM ::1 GET /
 HTTP  9/2/2026 2:47:43 AM ::1 Returned 200 in 2 ms
 HTTP  9/2/2026 2:48:31 AM ::1 GET /
 HTTP  9/2/2026 2:48:31 AM ::1 Returned 200 in 2 ms
 HTTP  9/2/2026 2:49:03 AM ::1 GET /
 HTTP  9/2/2026 2:49:03 AM ::1 Returned 200 in 1 ms
 HTTP  9/2/2026 2:49:54 AM ::1 GET /
 HTTP  9/2/2026 2:49:54 AM ::1 Returned 200 in 1 ms
 HTTP  9/2/2026 2:50:44 AM ::1 GET /
 HTTP  9/2/2026 2:50:44 AM ::1 Returned 200 in 1 ms
 HTTP  9/2/2026 2:51:32 AM ::1 GET /
 HTTP  9/2/2026 2:51:32 AM ::1 Returned 200 in 1 ms
 HTTP  9/2/2026 2:51:49 AM ::1 GET /
 HTTP  9/2/2026 2:51:49 AM ::1 Returned 200 in 1 ms
